"PARENT_KEY","Site","Cluster","Plot","Longitude","Latitude","VegStructure","Year","Trees","Shrubs","KEY","trheight","trcircumf","trspecies_scientific","treespecies_common","Subplot"
"uuid:508770a8-0e2d-427c-a8e8-120ef6101459","Kalamba","4","12","37.4987","-1.82363","woodland","2023","yes","yes","uuid:508770a8-0e2d-427c-a8e8-120ef6101459/supl4_tree_data[13]","14.3","38","Cupressus lusitanica","N","4"
"uuid:5f396fc6-732e-4fd4-ad5c-e86e877f9321","Kalamba","4","8","37.4982","-1.82324","woodland","2023","yes","yes","uuid:5f396fc6-732e-4fd4-ad5c-e86e877f9321/supl4_tree_data[1]","21","29","Cupressus lusitanica","N","4"
"uuid:5f396fc6-732e-4fd4-ad5c-e86e877f9321","Kalamba","4","8","37.4982","-1.82324","woodland","2023","yes","yes","uuid:5f396fc6-732e-4fd4-ad5c-e86e877f9321/supl4_tree_data[2]","24.4","58","Eucalyptus paniculata","N","4"
"uuid:5f396fc6-732e-4fd4-ad5c-e86e877f9321","Kalamba","4","8","37.4982","-1.82324","woodland","2023","yes","yes","uuid:5f396fc6-732e-4fd4-ad5c-e86e877f9321/supl4_tree_data[3]","21.3","27","Cupressus lusitanica","N","4"
"uuid:5f396fc6-732e-4fd4-ad5c-e86e877f9321","Kalamba","4","8","37.4982","-1.82324","woodland","2023","yes","yes","uuid:5f396fc6-732e-4fd4-ad5c-e86e877f9321/supl4_tree_data[4]","18.7","20","Cupressus lusitanica","N","4"
"uuid:5f396fc6-732e-4fd4-ad5c-e86e877f9321","Kalamba","4","8","37.4982","-1.82324","woodland","2023","yes","yes","uuid:5f396fc6-732e-4fd4-ad5c-e86e877f9321/supl4_tree_data[5]","25.7","69","Cupressus lusitanica","N","4"
"uuid:5f396fc6-732e-4fd4-ad5c-e86e877f9321","Kalamba","4","8","37.4982","-1.82324","woodland","2023","yes","yes","uuid:5f396fc6-732e-4fd4-ad5c-e86e877f9321/supl4_tree_data[6]","16.8","23","Cupressus lusitanica","N","4"
"uuid:5f396fc6-732e-4fd4-ad5c-e86e877f9321","Kalamba","4","8","37.4982","-1.82324","woodland","2023","yes","yes","uuid:5f396fc6-732e-4fd4-ad5c-e86e877f9321/supl4_tree_data[7]","25.4","73","Cupressus lusitanica","N","4"
"uuid:5f396fc6-732e-4fd4-ad5c-e86e877f9321","Kalamba","4","8","37.4982","-1.82324","woodland","2023","yes","yes","uuid:5f396fc6-732e-4fd4-ad5c-e86e877f9321/supl4_tree_data[8]","25.4","61","Cupressus lusitanica","N","4"
"uuid:5f396fc6-732e-4fd4-ad5c-e86e877f9321","Kalamba","4","8","37.4982","-1.82324","woodland","2023","yes","yes","uuid:5f396fc6-732e-4fd4-ad5c-e86e877f9321/supl4_tree_data[9]","18.8","39","Cupressus lusitanica","N","4"
"uuid:5f396fc6-732e-4fd4-ad5c-e86e877f9321","Kalamba","4","8","37.4982","-1.82324","woodland","2023","yes","yes","uuid:5f396fc6-732e-4fd4-ad5c-e86e877f9321/supl4_tree_data[10]","21.8","34","Cupressus lusitanica","N","4"
"uuid:5f396fc6-732e-4fd4-ad5c-e86e877f9321","Kalamba","4","8","37.4982","-1.82324","woodland","2023","yes","yes","uuid:5f396fc6-732e-4fd4-ad5c-e86e877f9321/supl4_tree_data[11]","21.8","36","Cupressus lusitanica","N","4"
"uuid:5f396fc6-732e-4fd4-ad5c-e86e877f9321","Kalamba","4","8","37.4982","-1.82324","woodland","2023","yes","yes","uuid:5f396fc6-732e-4fd4-ad5c-e86e877f9321/supl4_tree_data[12]","21.8","40","Cupressus lusitanica","N","4"
"uuid:7dd267cb-4333-4a0a-b556-560c2e86510d","Kalamba","4","6","37.4999","-1.82223","woodland","2023","yes","yes","uuid:7dd267cb-4333-4a0a-b556-560c2e86510d/supl4_tree_data[1]","23.4","72","Eucalyptus paniculata","N","4"
"uuid:7dd267cb-4333-4a0a-b556-560c2e86510d","Kalamba","4","6","37.4999","-1.82223","woodland","2023","yes","yes","uuid:7dd267cb-4333-4a0a-b556-560c2e86510d/supl4_tree_data[2]","3.9","7","Eucalyptus paniculata","N","4"
"uuid:7dd267cb-4333-4a0a-b556-560c2e86510d","Kalamba","4","6","37.4999","-1.82223","woodland","2023","yes","yes","uuid:7dd267cb-4333-4a0a-b556-560c2e86510d/supl4_tree_data[3]","3.9","9","Eucalyptus paniculata","N","4"
